X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
0,0,0,0,0,0
20,-56,-20,-20,-56,20
44,-126,-44,-44,-126,44
69,-195,-69,-69,-196,69
94,-265,-94,-93,-266,93
119,-334,-119,-117,-336,117
144,-404,-144,-142,-406,142
170,-473,-170,-166,-476,166
195,-543,-195,-190,-546,190
220,-612,-220,-214,-617,214
246,-681,-246,-238,-687,238
271,-750,-271,-262,-757,262
297,-819,-297,-285,-828,285
323,-889,-323,-309,-899,309
349,-958,-349,-332,-969,332
377,-1033,-377,-358,-1047,358
403,-1102,-403,-382,-1118,382
429,-1171,-429,-405,-1188,405
455,-1240,-455,-428,-1259,428
482,-1308,-482,-451,-1330,451
508,-1377,-508,-474,-1401,474
534,-1445,-534,-497,-1472,497
561,-1514,-561,-520,-1543,520
587,-1582,-587,-543,-1614,543
614,-1651,-614,-565,-1685,565
641,-1719,-641,-588,-1757,588
668,-1787,-668,-610,-1828,610
695,-1855,-695,-633,-1899,633
722,-1923,-722,-655,-1971,655
749,-1991,-749,-677,-2042,677
776,-2059,-776,-699,-2114,699
803,-2127,-803,-721,-2185,721
831,-2195,-831,-743,-2257,743
858,-2263,-858,-765,-2329,765
886,-2330,-886,-787,-2400,787
913,-2398,-913,-808,-2472,808
941,-2465,-941,-830,-2544,830
969,-2533,-969,-852,-2616,852
996,-2600,-996,-873,-2688,873
1024,-2668,-1024,-894,-2760,894
1052,-2735,-1052,-915,-2832,915
1081,-2802,-1081,-937,-2904,937
1109,-2869,-1109,-958,-2976,958
1137,-2936,-1137,-979,-3048,979
1165,-3003,-1165,-1000,-3120,1000
1197,-3077,-1197,-1022,-3200,1022
1225,-3144,-1225,-1043,-3272,1043
1254,-3210,-1254,-1064,-3345,1064
1282,-3277,-1282,-1084,-3417,1084
1311,-3344,-1311,-1105,-3490,1105
1340,-3410,-1340,-1125,-3562,1125
1369,-3477,-1369,-1145,-3635,1145
1398,-3543,-1398,-1165,-3708,1165
1427,-3609,-1427,-1185,-3780,1185
1456,-3676,-1456,-1205,-3853,1205
1486,-3742,-1486,-1225,-3926,1225
1515,-3808,-1515,-1245,-3999,1245
1544,-3874,-1544,-1265,-4072,1265
1574,-3940,-1574,-1284,-4145,1284
1603,-4006,-1603,-1304,-4218,1304
1633,-4072,-1633,-1323,-4291,1323
1663,-4137,-1663,-1343,-4364,1343
1693,-4203,-1693,-1362,-4437,1362
1723,-4269,-1723,-1381,-4510,1381
1753,-4334,-1753,-1400,-4583,1400
1783,-4400,-1783,-1419,-4657,1419
1813,-4465,-1813,-1438,-4730,1438
1843,-4530,-1843,-1457,-4803,1457
1873,-4595,-1873,-1476,-4877,1476
1904,-4661,-1904,-1494,-4950,1494
1934,-4726,-1934,-1513,-5024,1513
1965,-4791,-1965,-1531,-5097,1531
1995,-4856,-1995,-1549,-5171,1549
2026,-4920,-2026,-1568,-5245,1568
2057,-4985,-2057,-1586,-5318,1586
2091,-5056,-2091,-1606,-5400,1606
2122,-5121,-2122,-1624,-5473,1624
2153,-5186,-2153,-1642,-5547,1642
2184,-5250,-2184,-1659,-5621,1659
2215,-5314,-2215,-1677,-5695,1677
2247,-5379,-2247,-1695,-5769,1695
2278,-5443,-2278,-1712,-5843,1712
2309,-5507,-2309,-1730,-5917,1730
2341,-5571,-2341,-1747,-5991,1747
2372,-5635,-2372,-1764,-6065,1764
2404,-5699,-2404,-1781,-6139,1781
2436,-5763,-2436,-1798,-6214,1798
2468,-5827,-2468,-1815,-6288,1815
2500,-5890,-2500,-1832,-6362,1832
2532,-5954,-2532,-1849,-6437,1849
2564,-6017,-2564,-1866,-6511,1866
2596,-6081,-2596,-1882,-6585,1882
2628,-6144,-2628,-1899,-6660,1899
2660,-6208,-2660,-1915,-6734,1915
2693,-6271,-2693,-1932,-6809,1932
2725,-6334,-2725,-1948,-6884,1948
2758,-6397,-2758,-1964,-6958,1964
2790,-6460,-2790,-1980,-7033,1980
2823,-6523,-2823,-1996,-7108,1996
2856,-6586,-2856,-2012,-7182,2012
